Rhea americana;ema
Topaza pyra;topázio-de-fogo
Chrysolampis mosquitus;beija-flor-vermelho
Stephanoxis lalandi;beija-flor-de-topete
Lophornis ornatus;beija-flor-de-leque-canela
Lophornis gouldii;topetinho-do-brasil-central
Lophornis magnificus;topetinho-vermelho
Lophornis chalybeus;topetinho-verde
Lophornis pavoninus;topetinho-pavão
Discosura langsdorffi;rabo-de-espinho
Discosura longicaudus;bandeirinha
Chlorestes notata;beija-flor-de-garganta-azul
Chlorostilbon mellisugus;esmeralda-de-cauda-azul
Chlorostilbon aureoventris;besourinho-de-bico-vemelho
Thalurania furcata;beija-flor-tesoura-verde
Thalurania watertonii;beija-flor-de-costas-violetas
Thalurania glaucopis;beija-flor-de-fronte-violeta
Hylocharis sapphirina;beija-flor-safira
Hylocharis cyanus;beija-flor-roxo
Hylocharis chrysura;beija-flor-dourado
Chrysuronia oenone;beija-flor-de-cauda-dourada
Leucochloris albicollis;beija-flor-de-papo-branco
Polytmus guainumbi;beija-flor-de-bico-curvo
Polytmus theresiae;beija-flor-dos-tepuis
Leucippus chlorocercus;beija-flor-verde
Amazilia chionogaster;beija-flor-verde-e-branco
Amazilia leucogaster;beija-flor-de-barriga-branca
Amazilia versicolor;beija-flor-de-banda-branca
Amazilia rondoniae;beija-flor-de-cabeça-azul
Amazilia brevirostris;beija-flor-de-bico-preto
Amazilia fimbriata;beija-flor-de-garganta-verde
Amazilia lactea;beija-flor-de-peito-azul
Amazilia viridigaster;beija-flor-de-barriga-verde
Clytolaema rubricauda;beija-flor-rubi
Heliodoxa xanthogonys;brilhante-veludo
Heliodoxa schreibersii;brilhante-de-garganta-preta
Heliodoxa aurescens;beija-flor-estrela
Augastes scutatus;beija-flor-de-gravata-verde
Augastes lumachella;beija-flor-de-gravata-vermelha
Heliothryx auritus;beija-flor-de-bochecha-azul
Heliactin bilophus;chifre-de-ouro
Heliomaster longirostris;bico-reto-cinzento
Heliomaster squamosus;bico-reto-de-banda-branca
Heliomaster furcifer;bico-reto-azul
Calliphlox amethystina;estrelinha-ametista
Trogon viridis;surucuá-grande-de-barriga-amarela
Trogon surrucura;surucuá-variado
Trogon curucui;surucuá-de-barriga-vermelha
Trogon violaceus;surucuá-pequeno
Trogon collaris;surucuá-de-coleira
Trogon personatus;surucuá-mascarado
Trogon rufus;surucuá-de-barriga-amarela
Trogon melanurus;surucuá-de-cauda-preta
Pharomachrus pavoninus;surucuá-pavão
Ceryle torquatus;martim-pescador-grande
Chloroceryle amazona;martim-pescador-verde
Chloroceryle americana;martim-pescador-pequeno
Chloroceryle inda;martim-pescador-da-mata
Chloroceryle aenea;martinho
Electron platyrhynchum;udu-de-bico-largo
Baryphthengus martii;juruva-ruiva
Baryphthengus ruficapillus;juruva-verde
Momotus momota;udu-de-coroa-azul
Galbalcyrhynchus leucotis;ariramba-vermelha
Galbalcyrhynchus purusianus;sovela-vermelha
Brachygalba albogularis;agulha-de-garganta-branca
Brachygalba lugubris;ariramba-preta
Jacamaralcyon tridactyla;cuitelão
Galbula albirostris;ariramba-de-bico-amarelo
Galbula cyanicollis;ariramba-da-mata
Galbula ruficauda;ariramba-de-cauda-ruiva
Galbula galbula;ariramba-de-cauda-verde
Galbula tombacea;ariramba-de-barba-branca
Galbula cyanescens;ariramba-da-capoeira
Galbula chalcothorax;ariramba-violácea
Galbula leucogastra;ariramba-bronzeada
Galbula dea;ariramba-do-paraíso
Jacamerops aureus;jacamaraçu
Notharchus macrorhynchos;macuru-de-testa-branca
Notharchus hyperrhynchus;macuru-de-pescoço-branco
Notharchus swainsoni;macuru-de-barriga-castanha
